 "Tiempo de conduccion","Bogota","Cali","Medellin","Barranquilla","Cartagena","Cucuta","Bucaramanga","Pereira","Santa Marta","Ibague","Pasto","Manizales","Neiva","Villavicencio","Armenia"
"Bogota","","6:27","5:45","12:04","13:34","7:18","5:05","4:42","11:30","2:39","11:02","4:18","3:49","1:28","4:08"
"Cali","6:27","","5:43","14:23","13:54","12:25","10:10","2:39","15:07","3:54","7:06","3:20","6:25","7:41","2:22"
"Medellin","5:43","5:45","","8:41","8:12","7:53","5:38","3:09","9:46","5:19","12:38","2:57","7:50","7:11","3:49"
"Barranquilla","12:02","14:15","8:32","","1:53","8:51","7:55","11:40","1:15","11:53","21:09","11:28","14:09","13:30","12:20"
"Cartagena","13:43","13:53","8:10","1:50","","10:31","9:36","11:17","3:04","13:27","20:46","11:05","15:50","15:11","11:57"
"Cucuta","7:14","12:26","7:43","8:51","10:23","","2:17","9:50","8:17","8:37","18:07","9:08","10:54","8:42","10:11"
"Bucaramanga","5:01","10:12","5:30","7:56","9:29","2:18","","7:36","7:22","6:24","15:53","6:54","8:40","6:29","7:57"
"Pereira","4:44","2:40","3:09","11:50","11:20","9:52","7:37","","12:33","2:11","9:33","0:47","4:43","5:58","0:42"
"Santa Marta","11:28","15:07","9:37","1:14","3:06","8:16","7:21","12:31","","11:18","20:48","11:49","13:35","12:56","12:52"
"Ibague","2:40","3:55","5:18","11:53","13:23","8:37","6:22","2:10","11:19","","9:51","2:55","2:38","3:53","1:36"
"Pasto","11:02","7:05","12:37","21:17","20:48","18:06","15:51","9:32","20:47","9:51","","10:14","7:11","12:15","9:16"
"Manizales","4:17","3:22","2:57","11:37","11:08","9:09","6:54","0:46","11:50","2:55","10:15","","5:27","5:45","1:26"
"Neiva","3:53","6:25","7:53","14:12","15:42","10:56","8:41","4:45","13:38","2:42","7:15","5:30","","5:06","4:11"
"Villavicencio","1:27","7:41","7:11","13:29","15:00","8:44","6:30","5:56","12:55","3:53","12:16","5:44","5:03","","5:22"
"Armenia","4:10","2:24","3:49","12:30","12:00","10:10","7:55","0:42","12:51","1:36","9:17","1:27","4:08","5:23",""
